Customer_ID,Last_Name,Credit Score,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard?,IsActiveMember,Estimated Salary,ExitedFromBank?
15634602,Hargrave,619,France,Female,42,2,0,1,TRUE,TRUE,101348.88,TRUE
15619304,Onio,502,France,Female,42,8,159660.8,3,TRUE,FALSE,113931.57,TRUE
15574012,Chu,645,Spain,Male,44,8,113755.78,2,TRUE,FALSE,149756.71,TRUE
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,TRUE,FALSE,119346.88,TRUE
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,TRUE,FALSE,5097.67,TRUE
15699309,Gerasimov,510,Spain,Female,38,4,0,1,TRUE,FALSE,118913.53,TRUE
15589475,Azikiwe,591,Spain,Female,39,3,0,3,TRUE,FALSE,140469.38,TRUE
15794171,Lombardo,475,France,Female,45,0,134264.04,1,TRUE,FALSE,27822.99,TRUE
15738148,Clarke,465,France,Female,51,8,122522.32,1,FALSE,FALSE,181297.65,TRUE
15755196,Lavine,834,France,Female,49,2,131394.56,1,FALSE,FALSE,194365.76,TRUE
15602280,Martin,829,Germany,Female,27,9,112045.67,1,TRUE,TRUE,119708.21,TRUE
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,TRUE,TRUE,117622.8,TRUE
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,FALSE,FALSE,164040.94,TRUE
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,TRUE,FALSE,40014.76,TRUE
15623944,T'ien,511,Spain,Female,66,4,0,1,TRUE,FALSE,1643.11,TRUE
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,TRUE,FALSE,28373.86,TRUE
15663706,Leonard,777,France,Female,32,2,0,1,TRUE,FALSE,136458.19,TRUE
15762418,Gant,750,Spain,Male,22,3,121681.82,1,TRUE,FALSE,128643.35,TRUE
15622897,Sharpe,646,France,Female,46,4,0,3,TRUE,FALSE,93251.42,TRUE
15757535,Heap,647,Spain,Female,44,5,0,3,TRUE,TRUE,174205.22,TRUE
15804919,Dunbabin,670,Spain,Female,65,1,0,1,TRUE,TRUE,177655.68,TRUE
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,TRUE,TRUE,30984.59,TRUE
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,TRUE,FALSE,99449.86,TRUE
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,FALSE,TRUE,101300.94,TRUE
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,TRUE,FALSE,199725.39,TRUE
15627360,Fuller,432,France,Male,42,9,152603.45,1,TRUE,FALSE,110265.24,TRUE
15671137,MacDonald,549,France,Female,52,1,0,1,FALSE,TRUE,8636.05,TRUE
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,TRUE,FALSE,46824.08,TRUE
15594408,Chia,584,Spain,Female,48,2,213146.2,1,TRUE,FALSE,75161.25,TRUE
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,FALSE,TRUE,8590.83,TRUE
15713483,Greeves,793,Spain,Male,52,2,0,1,TRUE,FALSE,159123.82,TRUE
15612350,Taylor,691,France,Female,31,5,40915.55,1,TRUE,FALSE,126213.84,TRUE
15759618,Alexeeva,535,France,Female,48,9,0,1,TRUE,FALSE,149892.79,TRUE
15679145,Chou,706,Spain,Male,57,7,0,1,TRUE,FALSE,17941.16,TRUE
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,TRUE,FALSE,55582.54,TRUE
15724623,Taubman,704,Germany,Female,24,7,113034.22,1,TRUE,FALSE,162503.48,TRUE
15574692,Pinto,667,Spain,Female,39,2,0,2,TRUE,FALSE,40721.24,TRUE
15651022,Yost,480,Germany,Male,44,10,129608.57,1,TRUE,FALSE,5472.7,TRUE
15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,TRUE,FALSE,8080.85,TRUE
15719377,Cocci,804,France,Female,50,4,0,1,TRUE,TRUE,8546.87,TRUE
15726931,Onwumelu,715,France,Female,41,8,56214.85,2,FALSE,FALSE,92982.61,TRUE
15600974,He,516,Spain,Male,50,5,0,1,FALSE,TRUE,146145.93,TRUE
15727868,Onuora,711,France,Female,38,2,129022.06,2,TRUE,TRUE,14374.86,TRUE
15755262,McDonald,608,Spain,Female,41,3,89763.84,1,FALSE,FALSE,199304.74,TRUE
15684181,Hackett,643,France,Male,45,5,0,1,TRUE,FALSE,142513.5,TRUE
